instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
8996354,35142,ACC25JANFUT,ACC,0.0,2025-01-30,0.0,0.05,300,FUT,NFO-FUT,NFO
9112578,35596,ADANIENT24NOVFUT,ADANIENT,0.0,2024-11-28,0.0,0.05,300,FUT,NFO-FUT,NFO
8975106,35059,ADANIENT24DECFUT,ADANIENT,0.0,2024-12-26,0.0,0.05,300,FUT,NFO-FUT,NFO
8997634,35147,ADANIENT25JANFUT,ADANIENT,0.0,2025-01-30,0.0,0.05,300,FUT,NFO-FUT,NFO
9112834,35597,ADANIPORTS24NOVFUT,ADANIPORTS,0.0,2024-11-28,0.0,0.05,400,FUT,NFO-FUT,NFO
8976642,35065,ADANIPORTS24DECFUT,ADANIPORTS,0.0,2024-12-26,0.0,0.05,400,FUT,NFO-FUT,NFO
9011202,35200,ADANIPORTS25JANFUT,ADANIPORTS,0.0,2025-01-30,0.0,0.05,400,FUT,NFO-FUT,NFO
9113090,35598,ALKEM24NOVFUT,ALKEM,0.0,2024-11-28,0.0,0.05,100,FUT,NFO-FUT,NFO
8978946,35074,ALKEM24DECFUT,ALKEM,0.0,2024-12-26,0.0,0.05,100,FUT,NFO-FUT,NFO
9041154,35317,ALKEM25JANFUT,ALKEM,0.0,2025-01-30,0.0,0.05,100,FUT,NFO-FUT,NFO
9113346,35599,AMBUJACEM24NOVFUT,AMBUJACEM,0.0,2024-11-28,0.0,0.05,900,FUT,NFO-FUT,NFO
8979202,35075,AMBUJACEM24DECFUT,AMBUJACEM,0.0,2024-12-26,0.0,0.05,900,FUT,NFO-FUT,NFO
9046274,35337,AMBUJACEM25JANFUT,AMBUJACEM,0.0,2025-01-30,0.0,0.05,900,FUT,NFO-FUT,NFO
9113602,35600,APOLLOHOSP24NOVFUT,APOLLOHOSP,0.0,2024-11-28,0.0,0.05,125,FUT,NFO-FUT,NFO
8986114,35102,APOLLOHOSP24DECFUT,APOLLOHOSP,0.0,2024-12-26,0.0,0.05,125,FUT,NFO-FUT,NFO
9046786,35339,APOLLOHOSP25JANFUT,APOLLOHOSP,0.0,2025-01-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9113858,35601,APOLLOTYRE24NOVFUT,APOLLOTYRE,0.0,2024-11-28,0.0,0.05,1700,FUT,NFO-FUT,NFO
8986882,35105,APOLLOTYRE24DECFUT,APOLLOTYRE,0.0,2024-12-26,0.0,0.05,1700,FUT,NFO-FUT,NFO
9047042,35340,APOLLOTYRE25JANFUT,APOLLOTYRE,0.0,2025-01-30,0.0,0.05,1700,FUT,NFO-FUT,NFO
9158146,35774,ASHOKLEY24NOVFUT,ASHOKLEY,0.0,2024-11-28,0.0,0.01,2500,FUT,NFO-FUT,NFO
9022210,35243,ASHOKLEY24DECFUT,ASHOKLEY,0.0,2024-12-26,0.0,0.01,2500,FUT,NFO-FUT,NFO
9064194,35407,ASHOKLEY25JANFUT,ASHOKLEY,0.0,2025-01-30,0.0,0.01,2500,FUT,NFO-FUT,NFO
9158402,35775,ASIANPAINT24NOVFUT,ASIANPAINT,0.0,2024-11-28,0.0,0.05,200,FUT,NFO-FUT,NFO
9022466,35244,ASIANPAINT24DECFUT,ASIANPAINT,0.0,2024-12-26,0.0,0.05,200,FUT,NFO-FUT,NFO
9065986,35414,ASIANPAINT25JANFUT,ASIANPAINT,0.0,2025-01-30,0.0,0.05,200,FUT,NFO-FUT,NFO
9159170,35778,ASTRAL24NOVFUT,ASTRAL,0.0,2024-11-28,0.0,0.05,367,FUT,NFO-FUT,NFO
9029122,35270,ASTRAL24DECFUT,ASTRAL,0.0,2024-12-26,0.0,0.05,367,FUT,NFO-FUT,NFO
9130242,35665,ASTRAL25JANFUT,ASTRAL,0.0,2025-01-30,0.0,0.05,367,FUT,NFO-FUT,NFO
9159426,35779,ATUL24NOVFUT,ATUL,0.0,2024-11-28,0.0,0.05,100,FUT,NFO-FUT,NFO
9032706,35284,ATUL24DECFUT,ATUL,0.0,2024-12-26,0.0,0.05,100,FUT,NFO-FUT,NFO
9132290,35673,ATUL25JANFUT,ATUL,0.0,2025-01-30,0.0,0.05,100,FUT,NFO-FUT,NFO
9161986,35789,AUBANK24NOVFUT,AUBANK,0.0,2024-11-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
9032962,35285,AUBANK24DECFUT,AUBANK,0.0,2024-12-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
9132546,35674,AUBANK25JANFUT,AUBANK,0.0,2025-01-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9162242,35790,AUROPHARMA24NOVFUT,AUROPHARMA,0.0,2024-11-28,0.0,0.05,550,FUT,NFO-FUT,NFO
9033218,35286,AUROPHARMA24DECFUT,AUROPHARMA,0.0,2024-12-26,0.0,0.05,550,FUT,NFO-FUT,NFO
9133058,35676,AUROPHARMA25JANFUT,AUROPHARMA,0.0,2025-01-30,0.0,0.05,550,FUT,NFO-FUT,NFO
9178626,35854,AXISBANK24NOVFUT,AXISBANK,0.0,2024-11-28,0.0,0.05,625,FUT,NFO-FUT,NFO
9033474,35287,AXISBANK24DECFUT,AXISBANK,0.0,2024-12-26,0.0,0.05,625,FUT,NFO-FUT,NFO
9133314,35677,AXISBANK25JANFUT,AXISBANK,0.0,2025-01-30,0.0,0.05,625,FUT,NFO-FUT,NFO
9178882,35855,BAJAJ-AUTO24NOVFUT,BAJAJ-AUTO,0.0,2024-11-28,0.0,0.05,75,FUT,NFO-FUT,NFO
9033986,35289,BAJAJ-AUTO24DECFUT,BAJAJ-AUTO,0.0,2024-12-26,0.0,0.05,75,FUT,NFO-FUT,NFO
9186562,35885,BAJAJ-AUTO25JANFUT,BAJAJ-AUTO,0.0,2025-01-30,0.0,0.05,75,FUT,NFO-FUT,NFO
9179650,35858,BAJAJFINSV24NOVFUT,BAJAJFINSV,0.0,2024-11-28,0.0,0.05,500,FUT,NFO-FUT,NFO
9034242,35290,BAJAJFINSV24DECFUT,BAJAJFINSV,0.0,2024-12-26,0.0,0.05,500,FUT,NFO-FUT,NFO
9188866,35894,BAJAJFINSV25JANFUT,BAJAJFINSV,0.0,2025-01-30,0.0,0.05,500,FUT,NFO-FUT,NFO
9179906,35859,BAJFINANCE24NOVFUT,BAJFINANCE,0.0,2024-11-28,0.0,0.05,125,FUT,NFO-FUT,NFO
9034498,35291,BAJFINANCE24DECFUT,BAJFINANCE,0.0,2024-12-26,0.0,0.05,125,FUT,NFO-FUT,NFO
9289474,36287,BAJFINANCE25JANFUT,BAJFINANCE,0.0,2025-01-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9207298,35966,BALKRISIND24NOVFUT,BALKRISIND,0.0,2024-11-28,0.0,0.05,300,FUT,NFO-FUT,NFO
9036802,35300,BALKRISIND24DECFUT,BALKRISIND,0.0,2024-12-26,0.0,0.05,300,FUT,NFO-FUT,NFO
9406210,36743,BALKRISIND25JANFUT,BALKRISIND,0.0,2025-01-30,0.0,0.05,300,FUT,NFO-FUT,NFO
9207554,35967,BANDHANBNK24NOVFUT,BANDHANBNK,0.0,2024-11-28,0.0,0.01,2800,FUT,NFO-FUT,NFO
9037058,35301,BANDHANBNK24DECFUT,BANDHANBNK,0.0,2024-12-26,0.0,0.01,2800,FUT,NFO-FUT,NFO
9406466,36744,BANDHANBNK25JANFUT,BANDHANBNK,0.0,2025-01-30,0.0,0.01,2800,FUT,NFO-FUT,NFO
9211650,35983,BANKBARODA24NOVFUT,BANKBARODA,0.0,2024-11-28,0.0,0.05,2925,FUT,NFO-FUT,NFO
9037826,35304,BANKBARODA24DECFUT,BANKBARODA,0.0,2024-12-26,0.0,0.05,2925,FUT,NFO-FUT,NFO
9406722,36745,BANKBARODA25JANFUT,BANKBARODA,0.0,2025-01-30,0.0,0.05,2925,FUT,NFO-FUT,NFO
9211906,35984,BATAINDIA24NOVFUT,BATAINDIA,0.0,2024-11-28,0.0,0.05,375,FUT,NFO-FUT,NFO
9038082,35305,BATAINDIA24DECFUT,BATAINDIA,0.0,2024-12-26,0.0,0.05,375,FUT,NFO-FUT,NFO
9406978,36746,BATAINDIA25JANFUT,BATAINDIA,0.0,2025-01-30,0.0,0.05,375,FUT,NFO-FUT,NFO
9309698,36366,BEL24NOVFUT,BEL,0.0,2024-11-28,0.0,0.05,2850,FUT,NFO-FUT,NFO
9040642,35315,BEL24DECFUT,BEL,0.0,2024-12-26,0.0,0.05,2850,FUT,NFO-FUT,NFO
9538818,37261,BEL25JANFUT,BEL,0.0,2025-01-30,0.0,0.05,2850,FUT,NFO-FUT,NFO
9322754,36417,BERGEPAINT24NOVFUT,BERGEPAINT,0.0,2024-11-28,0.0,0.05,1320,FUT,NFO-FUT,NFO
9041410,35318,BERGEPAINT24DECFUT,BERGEPAINT,0.0,2024-12-26,0.0,0.05,1320,FUT,NFO-FUT,NFO
9539074,37262,BERGEPAINT25JANFUT,BERGEPAINT,0.0,2025-01-30,0.0,0.05,1320,FUT,NFO-FUT,NFO
9323522,36420,BHARATFORG24NOVFUT,BHARATFORG,0.0,2024-11-28,0.0,0.05,500,FUT,NFO-FUT,NFO
9041666,35319,BHARATFORG24DECFUT,BHARATFORG,0.0,2024-12-26,0.0,0.05,500,FUT,NFO-FUT,NFO
9539330,37263,BHARATFORG25JANFUT,BHARATFORG,0.0,2025-01-30,0.0,0.05,500,FUT,NFO-FUT,NFO
9377026,36629,BHARTIARTL24NOVFUT,BHARTIARTL,0.0,2024-11-28,0.0,0.05,475,FUT,NFO-FUT,NFO
9046018,35336,BHARTIARTL24DECFUT,BHARTIARTL,0.0,2024-12-26,0.0,0.05,475,FUT,NFO-FUT,NFO
9539586,37264,BHARTIARTL25JANFUT,BHARTIARTL,0.0,2025-01-30,0.0,0.05,475,FUT,NFO-FUT,NFO
9377282,36630,BHEL24NOVFUT,BHEL,0.0,2024-11-28,0.0,0.01,2625,FUT,NFO-FUT,NFO
9108226,35579,BHEL24DECFUT,BHEL,0.0,2024-12-26,0.0,0.01,2625,FUT,NFO-FUT,NFO
9859074,38512,BHEL25JANFUT,BHEL,0.0,2025-01-30,0.0,0.01,2625,FUT,NFO-FUT,NFO
9378562,36635,BIOCON24NOVFUT,BIOCON,0.0,2024-11-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
9108738,35581,BIOCON24DECFUT,BIOCON,0.0,2024-12-26,0.0,0.05,2500,FUT,NFO-FUT,NFO
10104322,39470,BIOCON25JANFUT,BIOCON,0.0,2025-01-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
9378818,36636,BOSCHLTD24NOVFUT,BOSCHLTD,0.0,2024-11-28,0.0,0.05,25,FUT,NFO-FUT,NFO
9112066,35594,BOSCHLTD24DECFUT,BOSCHLTD,0.0,2024-12-26,0.0,0.05,25,FUT,NFO-FUT,NFO
10331394,40357,BOSCHLTD25JANFUT,BOSCHLTD,0.0,2025-01-30,0.0,0.05,25,FUT,NFO-FUT,NFO
9386754,36667,BPCL24NOVFUT,BPCL,0.0,2024-11-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
9124610,35643,BPCL24DECFUT,BPCL,0.0,2024-12-26,0.0,0.05,1800,FUT,NFO-FUT,NFO
10331650,40358,BPCL25JANFUT,BPCL,0.0,2025-01-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
9387010,36668,BRITANNIA24NOVFUT,BRITANNIA,0.0,2024-11-28,0.0,0.05,100,FUT,NFO-FUT,NFO
9124866,35644,BRITANNIA24DECFUT,BRITANNIA,0.0,2024-12-26,0.0,0.05,100,FUT,NFO-FUT,NFO
10332162,40360,BRITANNIA25JANFUT,BRITANNIA,0.0,2025-01-30,0.0,0.05,100,FUT,NFO-FUT,NFO
9388290,36673,BSOFT24NOVFUT,BSOFT,0.0,2024-11-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
9129218,35661,BSOFT24DECFUT,BSOFT,0.0,2024-12-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
10332418,40361,BSOFT25JANFUT,BSOFT,0.0,2025-01-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9388546,36674,CANBK24NOVFUT,CANBK,0.0,2024-11-28,0.0,0.01,6750,FUT,NFO-FUT,NFO
9398274,36712,CANBK24DECFUT,CANBK,0.0,2024-12-26,0.0,0.01,6750,FUT,NFO-FUT,NFO
10332674,40362,CANBK25JANFUT,CANBK,0.0,2025-01-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
9398018,36711,CANFINHOME24NOVFUT,CANFINHOME,0.0,2024-11-28,0.0,0.05,975,FUT,NFO-FUT,NFO
9398786,36714,CANFINHOME24DECFUT,CANFINHOME,0.0,2024-12-26,0.0,0.05,975,FUT,NFO-FUT,NFO
10332930,40363,CANFINHOME25JANFUT,CANFINHOME,0.0,2025-01-30,0.0,0.05,975,FUT,NFO-FUT,NFO
9540866,37269,CHAMBLFERT24NOVFUT,CHAMBLFERT,0.0,2024-11-28,0.0,0.05,1900,FUT,NFO-FUT,NFO
9399554,36717,CHAMBLFERT24DECFUT,CHAMBLFERT,0.0,2024-12-26,0.0,0.05,1900,FUT,NFO-FUT,NFO
10333186,40364,CHAMBLFERT25JANFUT,CHAMBLFERT,0.0,2025-01-30,0.0,0.05,1900,FUT,NFO-FUT,NFO
9544450,37283,CHOLAFIN24NOVFUT,CHOLAFIN,0.0,2024-11-28,0.0,0.05,625,FUT,NFO-FUT,NFO
9400066,36719,CHOLAFIN24DECFUT,CHOLAFIN,0.0,2024-12-26,0.0,0.05,625,FUT,NFO-FUT,NFO
10333442,40365,CHOLAFIN25JANFUT,CHOLAFIN,0.0,2025-01-30,0.0,0.05,625,FUT,NFO-FUT,NFO
9544706,37284,CIPLA24NOVFUT,CIPLA,0.0,2024-11-28,0.0,0.05,325,FUT,NFO-FUT,NFO
9400834,36722,CIPLA24DECFUT,CIPLA,0.0,2024-12-26,0.0,0.05,325,FUT,NFO-FUT,NFO
10425090,40723,CIPLA25JANFUT,CIPLA,0.0,2025-01-30,0.0,0.05,325,FUT,NFO-FUT,NFO
9544962,37285,COALINDIA24NOVFUT,COALINDIA,0.0,2024-11-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
9401090,36723,COALINDIA24DECFUT,COALINDIA,0.0,2024-12-26,0.0,0.05,1050,FUT,NFO-FUT,NFO
10425858,40726,COALINDIA25JANFUT,COALINDIA,0.0,2025-01-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
9545218,37286,COFORGE24NOVFUT,COFORGE,0.0,2024-11-28,0.0,0.05,75,FUT,NFO-FUT,NFO
9401858,36726,COFORGE24DECFUT,COFORGE,0.0,2024-12-26,0.0,0.05,75,FUT,NFO-FUT,NFO
10429186,40739,COFORGE25JANFUT,COFORGE,0.0,2025-01-30,0.0,0.05,75,FUT,NFO-FUT,NFO
9545474,37287,COLPAL24NOVFUT,COLPAL,0.0,2024-11-28,0.0,0.05,175,FUT,NFO-FUT,NFO
9402626,36729,COLPAL24DECFUT,COLPAL,0.0,2024-12-26,0.0,0.05,175,FUT,NFO-FUT,NFO
10429442,40740,COLPAL25JANFUT,COLPAL,0.0,2025-01-30,0.0,0.05,175,FUT,NFO-FUT,NFO
9545730,37288,CONCOR24NOVFUT,CONCOR,0.0,2024-11-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
9402882,36730,CONCOR24DECFUT,CONCOR,0.0,2024-12-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
10434050,40758,CONCOR25JANFUT,CONCOR,0.0,2025-01-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9546242,37290,COROMANDEL24NOVFUT,COROMANDEL,0.0,2024-11-28,0.0,0.05,350,FUT,NFO-FUT,NFO
9403650,36733,COROMANDEL24DECFUT,COROMANDEL,0.0,2024-12-26,0.0,0.05,350,FUT,NFO-FUT,NFO
10434306,40759,COROMANDEL25JANFUT,COROMANDEL,0.0,2025-01-30,0.0,0.05,350,FUT,NFO-FUT,NFO
9664002,37750,CROMPTON24NOVFUT,CROMPTON,0.0,2024-11-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
9403906,36734,CROMPTON24DECFUT,CROMPTON,0.0,2024-12-26,0.0,0.05,1800,FUT,NFO-FUT,NFO
10450434,40822,CROMPTON25JANFUT,CROMPTON,0.0,2025-01-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
9664258,37751,CUB24NOVFUT,CUB,0.0,2024-11-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
9404162,36735,CUB24DECFUT,CUB,0.0,2024-12-26,0.0,0.01,5000,FUT,NFO-FUT,NFO
10452994,40832,CUB25JANFUT,CUB,0.0,2025-01-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
9667842,37765,CUMMINSIND24NOVFUT,CUMMINSIND,0.0,2024-11-28,0.0,0.05,150,FUT,NFO-FUT,NFO
9404418,36736,CUMMINSIND24DECFUT,CUMMINSIND,0.0,2024-12-26,0.0,0.05,150,FUT,NFO-FUT,NFO
10453250,40833,CUMMINSIND25JANFUT,CUMMINSIND,0.0,2025-01-30,0.0,0.05,150,FUT,NFO-FUT,NFO
9669890,37773,DABUR24NOVFUT,DABUR,0.0,2024-11-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
9404674,36737,DABUR24DECFUT,DABUR,0.0,2024-12-26,0.0,0.05,1250,FUT,NFO-FUT,NFO
10453762,40835,DABUR25JANFUT,DABUR,0.0,2025-01-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
9847554,38467,DALBHARAT24NOVFUT,DALBHARAT,0.0,2024-11-28,0.0,0.05,275,FUT,NFO-FUT,NFO
9404930,36738,DALBHARAT24DECFUT,DALBHARAT,0.0,2024-12-26,0.0,0.05,275,FUT,NFO-FUT,NFO
10454018,40836,DALBHARAT25JANFUT,DALBHARAT,0.0,2025-01-30,0.0,0.05,275,FUT,NFO-FUT,NFO
9848066,38469,DEEPAKNTR24NOVFUT,DEEPAKNTR,0.0,2024-11-28,0.0,0.05,300,FUT,NFO-FUT,NFO
9499394,37107,DEEPAKNTR24DECFUT,DEEPAKNTR,0.0,2024-12-26,0.0,0.05,300,FUT,NFO-FUT,NFO
10454274,40837,DEEPAKNTR25JANFUT,DEEPAKNTR,0.0,2025-01-30,0.0,0.05,300,FUT,NFO-FUT,NFO
9904386,38689,DIVISLAB24NOVFUT,DIVISLAB,0.0,2024-11-28,0.0,0.05,100,FUT,NFO-FUT,NFO
9499650,37108,DIVISLAB24DECFUT,DIVISLAB,0.0,2024-12-26,0.0,0.05,100,FUT,NFO-FUT,NFO
10454530,40838,DIVISLAB25JANFUT,DIVISLAB,0.0,2025-01-30,0.0,0.05,100,FUT,NFO-FUT,NFO
9905410,38693,DIXON24NOVFUT,DIXON,0.0,2024-11-28,0.0,0.05,50,FUT,NFO-FUT,NFO
9547266,37294,DIXON24DECFUT,DIXON,0.0,2024-12-26,0.0,0.05,50,FUT,NFO-FUT,NFO
10455042,40840,DIXON25JANFUT,DIXON,0.0,2025-01-30,0.0,0.05,50,FUT,NFO-FUT,NFO
9905666,38694,DLF24NOVFUT,DLF,0.0,2024-11-28,0.0,0.05,825,FUT,NFO-FUT,NFO
9547522,37295,DLF24DECFUT,DLF,0.0,2024-12-26,0.0,0.05,825,FUT,NFO-FUT,NFO
10455298,40841,DLF25JANFUT,DLF,0.0,2025-01-30,0.0,0.05,825,FUT,NFO-FUT,NFO
9905922,38695,DRREDDY24NOVFUT,DRREDDY,0.0,2024-11-28,0.0,0.05,625,FUT,NFO-FUT,NFO
9549570,37303,DRREDDY24DECFUT,DRREDDY,0.0,2024-12-26,0.0,0.05,625,FUT,NFO-FUT,NFO
10457090,40848,DRREDDY25JANFUT,DRREDDY,0.0,2025-01-30,0.0,0.05,625,FUT,NFO-FUT,NFO
9906434,38697,EICHERMOT24NOVFUT,EICHERMOT,0.0,2024-11-28,0.0,0.05,175,FUT,NFO-FUT,NFO
9550082,37305,EICHERMOT24DECFUT,EICHERMOT,0.0,2024-12-26,0.0,0.05,175,FUT,NFO-FUT,NFO
10458882,40855,EICHERMOT25JANFUT,EICHERMOT,0.0,2025-01-30,0.0,0.05,175,FUT,NFO-FUT,NFO
9907458,38701,ESCORTS24NOVFUT,ESCORTS,0.0,2024-11-28,0.0,0.05,275,FUT,NFO-FUT,NFO
9554946,37324,ESCORTS24DECFUT,ESCORTS,0.0,2024-12-26,0.0,0.05,275,FUT,NFO-FUT,NFO
10460162,40860,ESCORTS25JANFUT,ESCORTS,0.0,2025-01-30,0.0,0.05,150,FUT,NFO-FUT,NFO
9907714,38702,EXIDEIND24NOVFUT,EXIDEIND,0.0,2024-11-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
9556226,37329,EXIDEIND24DECFUT,EXIDEIND,0.0,2024-12-26,0.0,0.05,1800,FUT,NFO-FUT,NFO
10481154,40942,EXIDEIND25JANFUT,EXIDEIND,0.0,2025-01-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
9907970,38703,FEDERALBNK24NOVFUT,FEDERALBNK,0.0,2024-11-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
9556482,37330,FEDERALBNK24DECFUT,FEDERALBNK,0.0,2024-12-26,0.0,0.01,5000,FUT,NFO-FUT,NFO
10481410,40943,FEDERALBNK25JANFUT,FEDERALBNK,0.0,2025-01-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
8989954,35117,FINNIFTY24NOVFUT,FINNIFTY,0.0,2024-11-26,0.0,0.05,25,FUT,NFO-FUT,NFO
9069058,35426,FINNIFTY24DECFUT,FINNIFTY,0.0,2024-12-31,0.0,0.05,25,FUT,NFO-FUT,NFO
9021186,35239,FINNIFTY25JANFUT,FINNIFTY,0.0,2025-01-28,0.0,0.05,25,FUT,NFO-FUT,NFO
9908226,38704,GAIL24NOVFUT,GAIL,0.0,2024-11-28,0.0,0.01,4575,FUT,NFO-FUT,NFO
9557762,37335,GAIL24DECFUT,GAIL,0.0,2024-12-26,0.0,0.01,4575,FUT,NFO-FUT,NFO
10483970,40953,GAIL25JANFUT,GAIL,0.0,2025-01-30,0.0,0.01,2350,FUT,NFO-FUT,NFO
9910274,38712,GLENMARK24NOVFUT,GLENMARK,0.0,2024-11-28,0.0,0.05,725,FUT,NFO-FUT,NFO
9628162,37610,GLENMARK24DECFUT,GLENMARK,0.0,2024-12-26,0.0,0.05,725,FUT,NFO-FUT,NFO
10484226,40954,GLENMARK25JANFUT,GLENMARK,0.0,2025-01-30,0.0,0.05,325,FUT,NFO-FUT,NFO
9910530,38713,GMRINFRA24NOVFUT,GMRINFRA,0.0,2024-11-28,0.0,0.01,5625,FUT,NFO-FUT,NFO
9630978,37621,GMRINFRA24DECFUT,GMRINFRA,0.0,2024-12-26,0.0,0.01,5625,FUT,NFO-FUT,NFO
10484482,40955,GMRINFRA25JANFUT,GMRINFRA,0.0,2025-01-30,0.0,0.01,5625,FUT,NFO-FUT,NFO
9910786,38714,GNFC24NOVFUT,GNFC,0.0,2024-11-28,0.0,0.05,1300,FUT,NFO-FUT,NFO
9631746,37624,GNFC24DECFUT,GNFC,0.0,2024-12-26,0.0,0.05,1300,FUT,NFO-FUT,NFO
10485762,40960,GNFC25JANFUT,GNFC,0.0,2025-01-30,0.0,0.05,1300,FUT,NFO-FUT,NFO
9911042,38715,GODREJCP24NOVFUT,GODREJCP,0.0,2024-11-28,0.0,0.05,500,FUT,NFO-FUT,NFO
9632002,37625,GODREJCP24DECFUT,GODREJCP,0.0,2024-12-26,0.0,0.05,500,FUT,NFO-FUT,NFO
10486786,40964,GODREJCP25JANFUT,GODREJCP,0.0,2025-01-30,0.0,0.05,500,FUT,NFO-FUT,NFO
9913090,38723,GODREJPROP24NOVFUT,GODREJPROP,0.0,2024-11-28,0.0,0.05,225,FUT,NFO-FUT,NFO
9633282,37630,GODREJPROP24DECFUT,GODREJPROP,0.0,2024-12-26,0.0,0.05,225,FUT,NFO-FUT,NFO
10488066,40969,GODREJPROP25JANFUT,GODREJPROP,0.0,2025-01-30,0.0,0.05,225,FUT,NFO-FUT,NFO
9913858,38726,GRANULES24NOVFUT,GRANULES,0.0,2024-11-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
9633538,37631,GRANULES24DECFUT,GRANULES,0.0,2024-12-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
10488322,40970,GRANULES25JANFUT,GRANULES,0.0,2025-01-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9914370,38728,GRASIM24NOVFUT,GRASIM,0.0,2024-11-28,0.0,0.05,250,FUT,NFO-FUT,NFO
9635586,37639,GRASIM24DECFUT,GRASIM,0.0,2024-12-26,0.0,0.05,250,FUT,NFO-FUT,NFO
